Time, Cnts,  %T, set_Cell[mA], Cell[°C], Cell[Volt], Cell[mA], Cell[W], Cell[uAs], Cell_ON, Env[°C], TEC[°C], N2Flow[slpm]
2025-09-30 10:44:14,        0,  29.4,   1.1,  25.0,  0.271, -0.004,  0.000,     -3.1,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:15,        0,  29.3,   0.9,  25.0,  0.270, -0.004,  0.000,     -7.4,  1,  21.7,   1.2, 0.100
2025-09-30 10:44:16,        0,  29.4,   1.1,  25.0,  0.270, -0.004,  0.000,    -11.2,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:17,        0,  29.4,   1.1,  25.0,  0.270, -0.004,  0.000,    -15.2,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:18,        0,  29.4,   1.2,  25.0,  0.269, -0.004,  0.000,    -19.2,  1,  21.7,   1.2, 0.100
2025-09-30 10:44:19,        0,  29.4,   1.2,  25.0,  0.269, -0.004,  0.000,    -23.7,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:20,        0,  29.4,   1.2,  25.0,  0.268, -0.004,  0.000,    -27.8,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:21,        0,  29.4,   1.1,  25.0,  0.268, -0.004,  0.000,    -31.5,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:22,        0,  29.4,   1.1,  25.0,  0.267, -0.004,  0.000,    -35.5,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:23,        0,  29.4,   1.2,  25.0,  0.267, -0.004,  0.000,    -40.3,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:24,        0,  29.4,   1.2,  25.0,  0.266, -0.005,  0.000,    -44.3,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:25,        0,  29.4,   1.1,  25.0,  0.266, -0.004,  0.000,    -48.4,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:26,        0,  29.4,   1.2,  25.0,  0.266, -0.004,  0.000,    -52.4,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:27,        0,  29.5,   1.6,  25.0,  0.265, -0.004,  0.000,    -57.2,  1,  21.7,   1.3, 0.100
2025-09-30 10:44:28,        0,  30.1,   3.2,  25.0,  0.265, -0.004,  0.000,    -60.9,  1,  21.7,   1.3, 0.100
