Time, Cnts,  %T, set_Cell[mA], Cell[°C], Cell[Volt], Cell[mA], Cell[W], Cell[uAs], Cell_ON, Env[°C], TEC[°C], N2Flow[slpm]
2025-11-04 16:04:27,        0,  29.6,   1.9,  24.6,  0.329, -0.004,  0.000,     -2.3,  1,  21.4,   0.9, 0.100
2025-11-04 16:04:28,        0,  29.7,   2.1,  24.7,  0.322, -0.004,  0.000,     -6.3,  1,  21.4,   1.0, 0.100
2025-11-04 16:04:29,        0,  29.7,   2.1,  24.6,  0.319, -0.004,  0.000,    -10.3,  1,  21.4,   0.9, 0.100
2025-11-04 16:04:30,        0,  29.8,   2.3,  24.7,  0.315, -0.004,  0.000,    -14.0,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:31,        0,  29.8,   2.3,  24.7,106745.037, -0.004,  0.000,    -18.9,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:32,        0,  29.8,   2.3,  24.7,  0.306, -0.004,  0.000,    -22.9,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:33,        0,  29.8,   2.3,  24.7,  0.301, -0.004,  0.000,    -26.3,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:34,        0,  29.8,   2.3,  24.7,  0.297, -0.004,  0.000,    -30.0,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:35,        0,  29.7,   2.1,  24.7,  0.292, -0.004,  0.000,    -34.6,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:36,        0,  29.8,   2.3,  24.7,  0.289, -0.004,  0.000,    -38.1,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:37,        0,  29.8,   2.5,  24.7,  0.287, -0.003,  0.000,    -41.5,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:38,        0,  29.8,   2.3,  24.7,  0.282, -0.004,  0.000,    -44.9,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:39,        0,  29.8,   2.3,  24.7,  0.278, -0.004,  0.000,    -49.2,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:40,        0,  29.7,   2.1,  24.7,  0.275, -0.003,  0.000,    -52.6,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:41,        0,  29.8,   2.5,  24.7,  0.272, -0.004,  0.000,    -56.1,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:42,        0,  29.8,   2.5,  24.7,  0.268, -0.003,  0.000,    -59.5,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:43,        0,  29.8,   2.3,  24.7,  0.266, -0.003,  0.000,    -63.2,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:44,        0,  29.8,   2.3,  24.7,  0.262, -0.003,  0.000,    -66.7,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:45,        0,  29.8,   2.3,  24.7,  0.260, -0.003,  0.000,    -69.8,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:46,        0,  29.8,   2.3,  24.7,  0.258, -0.003,  0.000,    -73.0,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:47,        0,  29.8,   2.5,  24.7,  0.254, -0.003,  0.000,    -77.2,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:48,        0,  29.9,   2.6,  24.7,  0.252, -0.004,  0.000,    -80.4,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:49,        0,  29.9,   2.6,  24.7,  5.523,  4.392,  0.025,   3190.6,  1,  21.5,   1.0, 0.100
2025-11-04 16:04:50,        0,  30.0,   3.0,  24.6,  5.504,  4.368,  0.024,   7352.3,  1,  21.4,   1.0, 0.100
2025-11-04 16:04:51,        0,  29.9,   2.8,  24.7,  5.649,  4.528,  0.026,  12474.6,  1,  21.4,   0.9, 0.100
2025-11-04 16:04:52,        0,  30.0,   3.0,  24.7,  2.829,  1.519,  0.006,  15593.7,  1,  21.4,   1.0, 0.095
2025-11-04 16:04:53,        0,  29.9,   2.6,  24.7,  5.768,  4.657,  0.027,  19691.6,  1,  21.4,   0.9, 0.097
2025-11-04 16:04:54,        0,  30.4,   4.1,  24.6,  7.704,  6.783,  0.052,  25163.8,  1,  21.4,   0.9, 0.098
2025-11-04 16:04:55,        0,  30.6,   4.8,  24.6,  8.703,  7.888,  0.069,  32190.8,  1,  21.4,   0.8, 0.099
2025-11-04 16:04:56,        0,  32.0,   9.0,  24.6, 11.799, 11.318,  0.135,  42939.1,  1,  21.4,   0.8, 0.099
2025-11-04 16:04:57,        0,  32.4,  10.3,  24.6, 10.543,  9.923,  0.107,  53373.5,  1,  21.4,   0.9, 0.099
2025-11-04 16:04:58,        0,  32.5,  10.5,  24.6, 12.999, 12.655,  0.165,  65241.6,  1,  21.4,   0.9, 0.099
2025-11-04 16:04:59,        0,  34.0,  15.0,  24.6, 15.453, 15.389,  0.238,  79281.8,  1,  21.4,   0.8, 0.099
2025-11-04 16:05:00,        0,  34.2,  15.7,  24.6, 15.538, 15.491,  0.241,  98101.9,  1,  21.4,   0.8, 0.099
2025-11-04 16:05:01,        0,  32.2,   9.5,  24.6, 17.094, 17.237,  0.306, 113599.5,  1,  21.4,   0.9, 0.099
2025-11-04 16:05:02,        0,  34.9,  17.7,  24.6, 17.399, 17.585,  0.306, 129029.0,  1,  21.4,   0.9, 0.099
2025-11-04 16:05:03,        0,  35.0,  18.0,  24.6, 20.514, 21.086,  0.433, 149431.2,  1,  21.4,   0.9, 0.099
2025-11-04 16:05:04,        0,  34.8,  17.4,  24.6, 20.173, 20.734,  0.420, 174324.1,  1,  21.4,   0.9, 0.099
2025-11-04 16:05:05,        0,  34.6,  16.7,  24.6, 22.439, 23.290,  0.524, 194711.8,  1,  21.4,   0.8, 0.100
2025-11-04 16:05:06,        0,  35.4,  19.2,  24.6, 23.692, 24.728,  0.587, 216566.6,  1,  21.4,   0.9, 0.100
