Time, Cnts,  %T, set_Cell[mA], Cell[°C], Cell[Volt], Cell[mA], Cell[W], Cell[uAs], Cell_ON, Env[°C], TEC[°C], N2Flow[slpm]
2025-09-18 08:44:28,        0,  29.2,   0.5,  30.9,  0.218, -0.003,  0.000,     -2.6,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:29,        0,  29.2,   0.5,  30.8,  0.218, -0.003,  0.000,     -5.7,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:29,        0,  29.2,   0.5,  30.9,  0.218, -0.003,  0.000,     -8.9,  1,  21.6,   1.2, 0.100
2025-09-18 08:44:31,        0,  29.2,   0.7,  30.9,  0.217, -0.003,  0.000,    -12.6,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:32,        0,  29.2,   0.5,  30.9,  0.215, -0.003,  0.000,    -15.4,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:33,        0,  29.2,   0.7,  30.9,  0.215, -0.003,  0.000,    -18.3,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:34,        0,  29.2,   0.7,  30.9,  0.215, -0.003,  0.000,    -21.2,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:35,        0,  29.2,   0.7,  30.9,  0.213, -0.003,  0.000,    -24.9,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:36,        0,  29.2,   0.7,  30.9,  0.212, -0.003,  0.000,    -27.5,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:37,        0,  29.2,   0.7,  30.9,  0.211, -0.003,  0.000,    -30.3,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:38,        0,  29.2,   0.6,  30.9,  0.210, -0.003,  0.000,    -32.9,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:39,        0,  29.2,   0.7,  30.9,  0.210, -0.003,  0.000,    -36.3,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:40,        0,  29.2,   0.7,  30.9,  0.209, -0.003,  0.000,    -39.2,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:41,        0,  29.2,   0.7,  30.9,  0.208, -0.003,  0.000,    -42.1,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:42,        0,  29.3,   1.0,  30.9,  0.208, -0.003,  0.000,    -44.9,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:43,        0,  29.5,   1.5,  30.9,  0.208, -0.003,  0.000,    -48.4,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:44,        0,  29.9,   2.8,  30.8,  0.206, -0.003,  0.000,    -51.2,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:45,        0,  30.1,   3.4,  30.8,  0.206, -0.003,  0.000,     35.2,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:46,        0,  32.3,   9.9,  30.9,  7.051,  6.788,  0.049,   6499.1,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:47,        0,  32.6,  10.8,  30.9, 10.685, 11.062,  0.118,  19049.3,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:48,        0,  33.8,  14.4,  30.9, 11.613, 12.158,  0.141,  31353.4,  1,  21.7,   1.3, 0.100
2025-09-18 08:44:49,        0,  35.0,  18.0,  30.9, 13.635, 14.551,  0.201,  46140.9,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:50,        0,  37.5,  25.6,  30.9, 16.856, 18.388,  0.314,  65441.0,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:51,        0,  35.5,  19.5,  30.8, 23.402, 26.228,  0.614,  95509.8,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:52,        0,  36.9,  23.6,  30.8, 21.885, 24.440,  0.541, 119874.0,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:53,        0,  36.5,  22.5,  30.8, 26.746, 30.310,  1.009, 149961.4,  1,  21.6,   1.3, 0.079
2025-09-18 08:44:54,        0,  37.9,  26.8,  30.8, 19.181, 21.261,  0.427, 173473.8,  1,  21.6,   1.3, 0.091
2025-09-18 08:44:54,        0,  42.3,  39.9,  30.8, 32.833, 37.719,  1.255, 208037.9,  1,  21.6,   1.3, 0.097
2025-09-18 08:44:56,        0,  41.9,  38.6,  30.8, 34.922, 40.451,  1.418, 255542.0,  1,  21.6,   1.3, 0.099
2025-09-18 08:44:57,        0,  43.8,  44.4,  30.8, 37.503, 43.728,  1.640, 297105.8,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:58,        0,  44.5,  46.4,  30.8, 41.968, 49.429,  2.075, 343583.7,  1,  21.6,   1.3, 0.100
2025-09-18 08:44:58,        0,  42.0,  39.1,  30.8, 39.135, 46.092,  1.810, 388255.2,  1,  21.6,   1.3, 0.100
2025-09-18 08:45:00,        0,  41.3,  36.8,  30.8, 39.467, 46.694,  1.843, 442924.1,  1,  21.6,   1.3, 0.100
2025-09-18 08:45:01,        0,  40.3,  33.9,  30.8, 26.726, 30.951,  0.855, 476928.2,  1,  21.6,   1.3, 0.100
2025-09-18 08:45:02,        0,  42.8,  41.5,  30.8, 35.832, 42.227,  1.516, 516396.1,  1,  21.6,   1.3, 0.100
