Time, Cnts,  %T, set_Cell[mA], Cell[°C], Cell[Volt], Cell[mA], Cell[W], Cell[uAs], Cell_ON, Env[°C], TEC[°C], N2Flow[slpm]
2025-10-01 11:11:21,        0,  29.7,   2.0,  29.4,  0.188, -0.003,  0.000,     -1.7,  1,  22.0,   1.2, 0.100
2025-10-01 11:11:22,        0,  29.7,   2.0,  29.4,  0.187, -0.003,  0.000,     -4.0,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:24,        0,  29.7,   2.1,  29.4,  0.188, -0.002,  0.000,     -7.2,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:25,        0,  29.7,   2.0,  29.4,  0.188, -0.003,  0.000,     -9.4,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:25,        0,  29.7,   2.2,  29.4,  0.188, -0.003,  0.000,    -11.7,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:26,        0,  29.7,   2.0,  29.4,  0.187, -0.003,  0.000,    -14.6,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:28,        0,  29.7,   2.0,  29.4,  0.188, -0.003,  0.000,    -17.7,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:29,        0,  29.7,   2.1,  29.4,  0.187, -0.003,  0.000,    -20.6,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:29,        0,  29.6,   1.9,  29.4,  0.188, -0.002,  0.000,    -23.2,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:31,        0,  29.7,   2.2,  29.4,  0.187, -0.003,  0.000,    -26.3,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:32,        0,  29.7,   2.0,  29.4,  0.187, -0.003,  0.000,    -28.9,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:33,        0,  29.7,   2.0,  29.4,  0.188, -0.003,  0.000,    -31.5,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:33,        0,  29.8,   2.4,  29.4,  0.187, -0.003,  0.000,    -33.8,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:35,        0,  29.7,   2.2,  29.4,  0.187, -0.003,  0.000,    -37.2,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:36,        0,  29.8,   2.4,  29.4,  0.187, -0.003,  0.000,    -40.1,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:36,        0,  30.0,   2.9,  29.4,  0.187, -0.002,  0.000,    753.6,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:37,        0,  30.9,   5.6,  29.4,  6.131,  6.177,  0.038,   5866.5,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:39,        0,  30.6,   4.7,  29.4,  5.702,  5.609,  0.032,  13130.7,  1,  22.1,   1.3, 0.100
2025-10-01 11:11:40,        0,  32.0,   9.1,  29.4,  9.107, 10.109,  0.095,  21274.3,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:40,        0,  31.8,   8.4,  29.4,  9.332, 10.401,  0.100,  30897.3,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:41,        0,  33.3,  12.9,  29.4, 10.070, 11.392,  0.118,  42506.8,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:43,        0,  33.2,  12.5,  29.4, 15.000, 17.944,  0.273,  62440.4,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:44,        0,  35.2,  18.5,  29.4, 16.482, 19.924,  0.333,  79742.1,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:44,        0,  36.6,  22.8,  29.4, 16.597, 20.065,  0.333,  98729.6,  1,  22.1,   1.2, 0.100
2025-10-01 11:11:45,        0,  36.9,  23.7,  29.4, 19.368, 23.794,  0.462, 122399.7,  1,  22.0,   1.1, 0.100
2025-10-01 11:11:47,        0,  38.8,  29.3,  29.4, 24.395, 30.540,  0.746, 156172.7,  1,  22.1,   1.1, 0.080
2025-10-01 11:11:48,        0,  38.9,  29.6,  29.4, 21.501, 26.631,  0.585, 183576.1,  1,  22.0,   1.1, 0.093
2025-10-01 11:11:48,        0,  37.8,  26.3,  29.4, 22.260, 27.645,  0.622, 213733.6,  1,  22.0,   1.1, 0.098
2025-10-01 11:11:49,        0,  41.6,  37.8,  29.4, 28.288, 35.824,  1.015, 247155.2,  1,  22.0,   1.1, 0.099
2025-10-01 11:11:51,        0,  42.7,  41.0,  29.4, 33.273, 42.572,  1.418, 296713.3,  1,  22.0,   1.1, 0.100
2025-10-01 11:11:52,        0,  41.3,  36.8,  29.4, 31.686, 40.433,  1.285, 337057.4,  1,  22.0,   1.1, 0.100
2025-10-01 11:11:52,        0,  44.0,  45.0,  29.4, 36.251, 46.649,  1.691, 380030.9,  1,  22.0,   1.1, 0.099
