Time, Cnts,  %T, set_Cell[mA], Cell[°C], Cell[Volt], Cell[mA], Cell[W], Cell[uAs], Cell_ON, Env[°C], TEC[°C], N2Flow[slpm]
2025-10-15 12:33:28,        0,  29.7,   2.1,  24.8,  0.171, -0.003,  0.000,     -1.4,  1,  21.6,   0.9, 0.100
2025-10-15 12:33:29,        0,  29.8,   2.3,  24.8,  0.170, -0.002,  0.000,     -3.7,  1,  21.6,   0.9, 0.100
2025-10-15 12:33:30,        0,  29.7,   2.1,  24.7,  0.170, -0.002,  0.000,     -5.7,  1,  21.6,   0.9, 0.100
2025-10-15 12:33:31,        0,  29.7,   2.1,  24.8,  0.169, -0.002,  0.000,     -8.3,  1,  21.7,   0.9, 0.098
2025-10-15 12:33:32,        0,  29.8,   2.3,  24.9,  0.169, -0.002,  0.000,    -10.3,  1,  21.7,   1.0, 0.096
2025-10-15 12:33:33,        0,  29.8,   2.3,  24.8,  0.169, -0.002,  0.000,    -12.9,  1,  21.6,   1.0, 0.094
2025-10-15 12:33:34,        0,  29.8,   2.3,  24.9,  0.167, -0.003,  0.000,    -15.2,  1,  21.7,   1.0, 0.092
2025-10-15 12:33:35,        0,  29.8,   2.3,  24.8,  0.167, -0.002,  0.000,    -17.7,  1,  21.7,   1.0, 0.090
2025-10-15 12:33:36,        0,  29.8,   2.3,  24.8,  0.166, -0.003,  0.000,    -20.0,  1,  21.7,   1.0, 0.089
2025-10-15 12:33:37,        0,  29.8,   2.3,  24.9,  0.165, -0.002,  0.000,    -22.3,  1,  21.7,   1.0, 0.088
2025-10-15 12:33:38,        0,  29.8,   2.3,  24.9,  0.165, -0.003,  0.000,    -24.6,  1,  21.7,   1.0, 0.087
2025-10-15 12:33:39,        0,  29.7,   2.1,  24.8,  0.165, -0.002,  0.000,    -27.5,  1,  21.7,   1.0, 0.086
2025-10-15 12:33:40,        0,  29.8,   2.3,  24.8,  0.165, -0.003,  0.000,    -29.8,  1,  21.7,   1.0, 0.085
2025-10-15 12:33:41,        0,  29.8,   2.3,  24.8,  0.164, -0.003,  0.000,    -32.0,  1,  21.7,   1.0, 0.084
2025-10-15 12:33:42,        0,  29.8,   2.3,  24.9,  0.163, -0.002,  0.000,    -34.6,  1,  21.7,   1.0, 0.084
2025-10-15 12:33:43,        0,  29.8,   2.3,  24.9,  0.163, -0.002,  0.000,    -36.9,  1,  21.7,   1.0, 0.083
2025-10-15 12:33:44,        0,  29.8,   2.5,  24.9,  0.162, -0.002,  0.000,    -38.9,  1,  21.7,   1.0, 0.083
2025-10-15 12:33:45,        0,  29.9,   2.6,  24.9,  0.162, -0.002,  0.000,    -41.2,  1,  21.7,   1.0, 0.082
2025-10-15 12:33:46,        0,  30.1,   3.4,  24.9,  0.711,  0.498,  0.003,   1952.4,  1,  21.7,   1.0, 0.082
2025-10-15 12:33:47,        0,  30.5,   4.6,  24.8,  6.764,  5.160,  0.035,   7999.1,  1,  21.7,   1.0, 0.082
2025-10-15 12:33:48,        0,  30.0,   3.0,  24.9,  8.099,  6.499,  0.053,  14099.4,  1,  21.6,   1.0, 0.081
2025-10-15 12:33:49,        0,  30.0,   3.0,  24.9,  8.432,  6.824,  0.058,  19850.4,  1,  21.7,   1.0, 0.081
2025-10-15 12:33:50,        0,  30.8,   5.5,  24.9, 10.721,  9.131,  0.100,  27648.6,  1,  21.7,   1.0, 0.081
2025-10-15 12:33:51,        0,  32.6,  10.9,  24.8, 11.120,  9.531,  0.112,  38353.4,  1,  21.7,   1.0, 0.084
2025-10-15 12:33:52,        0,  33.2,  12.6,  24.8, 15.186, 13.630,  0.207,  51324.2,  1,  21.6,   1.0, 0.088
2025-10-15 12:33:53,        0,  34.7,  17.0,  24.9, 15.880, 14.307,  0.228,  64807.0,  1,  21.7,   1.0, 0.475
2025-10-15 12:33:54,        0,  35.2,  18.5,  24.8, 17.866, 16.304,  0.292,  81666.8,  1,  21.6,   1.0, 0.152
2025-10-15 12:33:55,        0,  36.5,  22.5,  24.7, 25.350, 23.901,  0.607, 107003.4,  1,  21.6,   1.0, 0.104
2025-10-15 12:33:56,        0,  37.0,  24.1,  24.8, 28.647, 27.253,  0.787, 132506.8,  1,  21.6,   1.0, 0.099
2025-10-15 12:33:57,        0,  39.1,  30.2,  24.8, 28.519, 27.148,  0.774, 158855.4,  1,  21.6,   1.0, 0.098
2025-10-15 12:33:58,        0,  39.5,  31.6,  24.8, 37.449, 36.481,  1.368, 192862.4,  1,  21.6,   0.9, 0.098
2025-10-15 12:33:59,        0,  42.2,  39.7,  24.8, 37.294, 36.427,  1.359, 235624.1,  1,  21.6,   0.9, 0.098
2025-10-15 12:34:00,        0,  42.5,  40.6,  24.8, 43.858, 43.443,  1.907, 277123.6,  1,  21.6,   0.9, 0.098
2025-10-15 12:34:01,        0,  44.0,  45.0,  24.8, 46.176, 46.052,  2.127, 321111.5,  1,  21.6,   0.9, 0.099
2025-10-15 12:34:02,        0,  41.6,  37.8,  24.8, 48.647, 48.781,  2.375, 366960.8,  1,  21.6,   0.9, 0.099
2025-10-15 12:34:03,        0,  41.1,  36.2,  24.8, 48.654, 48.867,  2.390, 420536.3,  1,  21.6,   0.9, 0.099
2025-10-15 12:34:04,        0,  42.8,  41.5,  24.8, 46.252, 46.388,  2.157, 462250.3,  1,  21.6,   0.9, 0.099
2025-10-15 12:34:05,        0,  43.8,  44.5,  24.8, 42.131, 41.901,  1.769, 504687.6,  1,  21.6,   0.9, 0.099
2025-10-15 12:34:06,        0,  44.2,  45.7,  24.8, 53.335, 53.247,  2.842, 553614.9,  1,  21.7,   0.9, 0.099
2025-10-15 12:34:07,        0,  40.8,  35.3,  24.8, 47.422, 46.787,  2.222, 606290.0,  1,  21.6,   0.9, 0.100
2025-10-15 12:34:08,        0,  38.5,  28.5,  24.9, 45.715, 44.818,  2.064, 648397.1,  1,  21.7,   1.0, 0.108
2025-10-15 12:34:09,        0,  44.1,  45.2,  24.8, 33.238, 32.021,  1.070, 683908.1,  1,  21.7,   0.9, 0.106
2025-10-15 12:34:10,        0,  41.1,  36.2,  24.9, 48.423, 46.227,  2.242, 729328.9,  1,  21.6,   0.9, 0.097
2025-10-15 12:34:11,        0,  42.0,  39.0,  24.8, 46.253, 43.266,  2.008, 779526.1,  1,  21.6,   0.9, 0.087
2025-10-15 12:34:12,        0,  40.0,  32.9,  24.9, 42.279, 38.997,  1.677, 817228.6,  1,  21.6,   0.9, 0.090
2025-10-15 12:34:13,        0,  43.6,  43.8,  24.9, 42.017, 39.232,  1.651, 854028.5,  1,  21.6,   0.9, 0.092
2025-10-15 12:34:14,        0,  36.9,  23.7,  24.9, 49.312, 45.521,  2.249, 894769.0,  1,  21.6,   0.9, 0.093
2025-10-15 12:34:15,        0,  41.4,  37.1,  24.9, 41.598, 38.978,  1.641, 933191.3,  1,  21.6,   0.9, 0.094
2025-10-15 12:34:16,        0,  38.6,  28.7,  24.9, 22.305, 19.941,  0.452, 962362.3,  1,  21.6,   0.9, 0.094
2025-10-15 12:34:17,        0,  41.4,  37.1,  24.9, 35.891, 33.689,  1.218, 994530.8,  1,  21.6,   0.9, 0.094
2025-10-15 12:34:18,        0,  39.7,  32.0,  24.9, 37.621, 35.229,  1.328,1029114.3,  1,  21.6,   1.0, 0.095
2025-10-15 12:34:19,        0,  36.3,  22.0,  24.9, 28.743, 26.364,  0.794,1061604.6,  1,  21.6,   0.9, 0.095
2025-10-15 12:34:20,        0,  38.0,  26.9,  24.9, 31.353, 28.987,  0.911,1088591.0,  1,  21.6,   0.9, 0.095
2025-10-15 12:34:21,        0,  39.2,  30.6,  24.9, 33.082, 30.739,  1.019,1114819.6,  1,  21.7,   1.0, 0.095
2025-10-15 12:34:22,        0,  32.3,  10.0,  24.9, 28.164, 25.799,  0.748,1140875.3,  1,  21.6,   1.0, 0.096
2025-10-15 12:34:23,        0,  37.3,  24.8,  24.9, 31.244, 28.910,  0.904,1166999.8,  1,  21.6,   0.9, 0.096
2025-10-15 12:34:24,        0,  37.4,  25.3,  24.9, 31.450, 29.034,  0.919,1195079.7,  1,  21.6,   0.9, 0.096
2025-10-15 12:34:25,        0,  35.9,  20.7,  24.9, 28.192, 25.783,  0.735,1221463.2,  1,  21.6,   0.9, 0.096
2025-10-15 12:34:26,        0,  35.0,  17.9,  24.9, 28.435, 25.956,  0.744,1245783.0,  1,  21.6,   1.0, 0.096
2025-10-15 12:34:27,        0,  37.3,  24.9,  24.9, 24.579, 22.073,  0.549,1274063.1,  1,  21.7,   1.0, 0.097
2025-10-15 12:34:28,        0,  36.5,  22.5,  24.9, 29.462, 26.898,  0.794,1299907.2,  1,  21.6,   1.0, 0.097
2025-10-15 12:34:29,        0,  37.2,  24.6,  24.9, 28.266, 25.685,  0.729,1324244.8,  1,  21.6,   1.0, 0.097
2025-10-15 12:34:30,        0,  38.2,  27.6,  24.9, 33.720, 31.043,  1.048,1353075.6,  1,  21.6,   0.9, 0.097
2025-10-15 12:34:31,        0,  34.9,  17.6,  24.9, 28.148, 25.521,  0.728,1385353.1,  1,  21.7,   0.9, 0.097
2025-10-15 12:34:32,        0,  35.9,  20.7,  24.9, 28.825, 26.171,  0.766,1410115.9,  1,  21.6,   0.9, 0.097
2025-10-15 12:34:33,        0,  35.4,  19.1,  24.9, 26.448, 23.801,  0.631,1433655.7,  1,  21.6,   1.0, 0.097
2025-10-15 12:34:34,        0,  37.3,  24.8,  24.9, 31.016, 28.257,  0.877,1459089.7,  1,  21.6,   0.9, 0.098
2025-10-15 12:34:35,        0,  38.6,  28.8,  24.9, 34.087, 31.277,  1.069,1494532.9,  1,  21.7,   0.9, 0.098
2025-10-15 12:34:36,        0,  36.3,  22.0,  24.9, 31.682, 28.932,  0.917,1522320.8,  1,  21.6,   1.0, 0.098
2025-10-15 12:34:37,        0,  38.1,  27.4,  24.9, 33.042, 30.232,  1.009,1551067.9,  1,  21.6,   1.0, 0.098
2025-10-15 12:34:38,        0,  35.0,  18.1,  25.0, 35.767, 32.926,  1.180,1581027.4,  1,  21.6,   0.9, 0.098
2025-10-15 12:34:39,        0,  37.9,  26.7,  24.9, 36.331, 33.412,  1.219,1610019.0,  1,  21.6,   0.9, 0.098
2025-10-15 12:34:40,        0,  40.7,  35.1,  25.0, 38.068, 35.134,  1.341,1647780.7,  1,  21.6,   0.9, 0.098
2025-10-15 12:34:41,        0,  40.2,  33.7,  24.9, 37.870, 34.955,  1.325,1683927.8,  1,  21.7,   0.9, 0.098
2025-10-15 12:34:42,        0,  40.0,  32.9,  25.0, 38.311, 35.426,  1.363,1718838.0,  1,  21.7,   0.9, 0.098
2025-10-15 12:34:43,        0,  41.8,  38.5,  25.0, 42.485, 39.423,  1.676,1755986.1,  1,  21.7,   0.9, 0.098
2025-10-15 12:34:44,        0,  43.6,  43.8,  25.0, 45.686, 42.353,  1.936,1803041.0,  1,  21.7,   0.9, 0.098
2025-10-15 12:34:45,        0,  40.3,  33.9,  25.0, 50.328, 46.416,  2.341,1848114.7,  1,  21.6,   0.8, 0.099
2025-10-15 12:34:46,        0,  41.7,  38.0,  25.0, 42.882, 39.256,  1.737,1885834.1,  1,  21.6,   0.8, 0.099
2025-10-15 12:34:47,        0,  42.9,  41.8,  24.9, 54.394, 49.692,  2.707,1931556.8,  1,  21.6,   0.8, 0.099
