Based on 'data/vindta/r2co2/Nico/0-0  0  (0)CRM-251014-05-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	166.150	0.000
0.150	192.450	0.000
0.300	219.150	0.000
0.450	236.150	0.000
0.600	248.400	0.000
0.750	258.350	0.000
0.900	267.000	0.000
1.050	274.700	0.000
1.200	282.150	0.000
1.350	289.900	0.000
1.500	298.100	0.000
1.650	307.600	0.000
1.800	319.250	0.000
1.950	335.700	0.000
2.100	364.250	0.000
2.250	397.650	0.000
2.400	415.450	0.000
2.550	426.350	0.000
2.700	434.100	0.000
2.850	440.000	0.000
3.000	444.800	0.000
3.150	448.900	0.000
3.300	452.400	0.000
3.450	455.400	0.000
3.600	458.150	0.000
3.750	460.800	0.000
3.900	463.000	0.000
4.050	465.050	0.000
