Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250916-03.bak'
titrant_amount	measurement	temperature
0.000	161.750	0.000
0.150	184.750	0.000
0.300	210.600	0.000
0.450	227.550	0.000
0.600	239.250	0.000
0.750	248.450	0.000
0.900	256.350	0.000
1.050	263.750	0.000
1.200	270.450	0.000
1.350	277.100	0.000
1.500	283.550	0.000
1.650	290.650	0.000
1.800	298.400	0.000
1.950	307.350	0.000
2.100	318.250	0.000
2.250	334.050	0.000
2.400	361.450	0.000
2.550	395.050	0.000
2.700	413.850	0.000
2.850	425.500	0.000
3.000	433.350	0.000
3.150	439.700	0.000
3.300	444.750	0.000
3.450	448.850	0.000
3.600	452.450	0.000
3.750	455.600	0.000
3.900	458.400	0.000
4.050	461.000	0.000
