Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250918-01.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	169.950	0.000
0.150	190.750	0.000
0.300	214.650	0.000
0.450	230.250	0.000
0.600	241.750	0.000
0.750	250.950	0.000
0.900	258.850	0.000
1.050	266.050	0.000
1.200	272.750	0.000
1.350	279.550	0.000
1.500	286.450	0.000
1.650	293.650	0.000
1.800	302.150	0.000
1.950	311.900	0.000
2.100	324.800	0.000
2.250	345.150	0.000
2.400	379.650	0.000
2.550	405.350	0.000
2.700	419.350	0.000
2.850	428.400	0.000
3.000	434.800	0.000
3.150	440.150	0.000
3.300	444.700	0.000
3.450	448.400	0.000
3.600	451.700	0.000
3.750	454.600	0.000
3.900	457.200	0.000
4.050	459.700	0.000
