Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-251006-07-4_2mL-0_15incrmL-0_0min.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	169.500	0.000
0.150	196.850	0.000
0.300	219.850	0.000
0.450	234.350	0.000
0.600	245.500	0.000
0.750	254.450	0.000
0.900	262.500	0.000
1.050	269.550	0.000
1.200	276.700	0.000
1.350	283.650	0.000
1.500	290.750	0.000
1.650	298.800	0.000
1.800	307.800	0.000
1.950	319.000	0.000
2.100	334.450	0.000
2.250	361.350	0.000
2.400	394.900	0.000
2.550	413.450	0.000
2.700	424.800	0.000
2.850	432.700	0.000
3.000	438.700	0.000
3.150	443.550	0.000
3.300	447.700	0.000
3.450	451.200	0.000
3.600	454.300	0.000
3.750	457.100	0.000
3.900	459.650	0.000
4.050	461.900	0.000
