Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old-251029-05-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	169.800	0.000
0.150	196.050	0.000
0.300	219.750	0.000
0.450	234.900	0.000
0.600	246.150	0.000
0.750	255.150	0.000
0.900	263.150	0.000
1.050	270.350	0.000
1.200	277.300	0.000
1.350	284.100	0.000
1.500	291.100	0.000
1.650	298.700	0.000
1.800	307.400	0.000
1.950	317.650	0.000
2.100	331.550	0.000
2.250	354.100	0.000
2.400	388.050	0.000
2.550	410.100	0.000
2.700	422.900	0.000
2.850	431.400	0.000
3.000	437.900	0.000
3.150	443.000	0.000
3.300	447.300	0.000
3.450	451.050	0.000
3.600	454.200	0.000
3.750	457.100	0.000
3.900	459.700	0.000
4.050	462.100	0.000
