Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_2-251107-09-2_7mL0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	172.000	0.000
0.150	197.450	0.000
0.300	221.450	0.000
0.450	236.750	0.000
0.600	248.050	0.000
0.750	257.350	0.000
0.900	265.250	0.000
1.050	272.550	0.000
1.200	279.500	0.000
1.350	286.400	0.000
1.500	293.500	0.000
1.650	301.100	0.000
1.800	309.750	0.000
1.950	320.000	0.000
2.100	333.800	0.000
2.250	356.350	0.000
2.400	390.150	0.000
2.550	412.300	0.000
