Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_2-251110-08-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	171.150	0.000
0.150	197.050	0.000
0.300	220.950	0.000
0.450	236.450	0.000
0.600	247.800	0.000
0.750	256.850	0.000
0.900	264.750	0.000
1.050	272.050	0.000
1.200	279.050	0.000
1.350	285.900	0.000
1.500	292.950	0.000
1.650	300.700	0.000
1.800	309.300	0.000
1.950	319.650	0.000
2.100	333.550	0.000
2.250	356.300	0.000
2.400	390.250	0.000
2.550	412.150	0.000
2.700	424.950	0.000
2.850	433.450	0.000
3.000	439.850	0.000
3.150	445.000	0.000
3.300	449.300	0.000
3.450	452.950	0.000
3.600	456.200	0.000
3.750	459.150	0.000
3.900	461.700	0.000
4.050	464.000	0.000
