Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251112-15-4_2mL-0_15incrmL_mixing-time-2sec.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.450	0.000
0.150	196.650	0.000
0.300	219.950	0.000
0.450	235.150	0.000
0.600	246.100	0.000
0.750	255.150	0.000
0.900	263.050	0.000
1.050	270.200	0.000
1.200	277.000	0.000
1.350	283.650	0.000
1.500	290.600	0.000
1.650	298.050	0.000
1.800	306.450	0.000
1.950	316.250	0.000
2.100	329.150	0.000
2.250	348.950	0.000
2.400	381.850	0.000
2.550	406.950	0.000
2.700	421.100	0.000
2.850	430.300	0.000
3.000	437.050	0.000
3.150	442.400	0.000
3.300	446.900	0.000
3.450	450.700	0.000
3.600	454.000	0.000
3.750	456.900	0.000
3.900	459.600	0.000
4.050	462.000	0.000
