Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nose-251027-05-2_85mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	173.250	0.000
0.150	200.150	0.000
0.300	222.300	0.000
0.450	236.650	0.000
0.600	247.450	0.000
0.750	256.300	0.000
0.900	264.100	0.000
1.050	271.300	0.000
1.200	278.250	0.000
1.350	285.000	0.000
1.500	292.050	0.000
1.650	299.850	0.000
1.800	308.550	0.000
1.950	319.050	0.000
2.100	333.300	0.000
2.250	356.950	0.000
2.400	390.650	0.000
2.550	411.600	0.000
2.700	423.800	0.000
