Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nuts-251029-10-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	157.600	0.000
0.150	176.900	0.000
0.300	204.650	0.000
0.450	226.200	0.000
0.600	240.450	0.000
0.750	251.350	0.000
0.900	260.400	0.000
1.050	268.250	0.000
1.200	275.850	0.000
1.350	283.050	0.000
1.500	290.550	0.000
1.650	298.400	0.000
1.800	307.550	0.000
1.950	318.250	0.000
2.100	332.850	0.000
2.250	357.250	0.000
2.400	391.550	0.000
2.550	412.300	0.000
2.700	424.350	0.000
2.850	432.600	0.000
3.000	438.850	0.000
3.150	443.950	0.000
3.300	448.150	0.000
3.450	451.750	0.000
3.600	454.850	0.000
3.750	457.700	0.000
3.900	460.350	0.000
4.050	462.600	0.000
