acid added (mL),1609 bottle 3,1609 bottle 4,1609 bottle 6,1609 bottle 7,1609 bottle 9,1609 bottle 10,1609 bottle 11,1709 bottle 1,1709 bottle 2,1709 bottle 3,1709 bottle 4,1709 bottle 5,1709 bottle 6,1709 bottle 7,1709 bottle 8,1709 bottle 9,1709 bottle 10,1709 bottle 11,1709 bottle 12,1809 bottle 3,3009 bottle 3,3009 bottle 4,3009 bottle 5,3009 bottle 6,3009 bottle 7,3009 bottle 8,0110 bottle 1,0110 bottle 2,0110 bottle 7,0110 bottle 8,0110 bottle 9,0110 bottle 10,0310 bottle 1,0310 bottle 2,0310 bottle 4,0610 bottle 3,0610 bottle 4,1710 bottle 3,2710 bottle 12,2910 bottle 6,2910 bottle 7,3010 bottle 2,0511 bottle 3,1011 bottle 6
0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,,,80,64,,,75,,90,,80,77,80,71,73,71,74,72,74,,,,65,69,80,72,76,65,75,74,80,85,68,64,75,65,63,51,60,57,58,58,72,66
0.45,,80,65,76,85,,70,73,79,,86,70,79,80,80,72,70,81,75,,65,68,56,66,66,66,70,73,63,65,57,53,73,55,56,65,57,42,35,35,33,33,43,43
0.6,,80,80,75,81,,80,89,79,80,73,80,80,77,72,72,73,70,60,,65,73,73,65,73,66,65,64,63,58,65,56,56,57,56,57,50,34,25,25,26,27,34,34
0.75,,72,85,72,74,,65,72,73,65,73,73,71,68,59,66,64,66,65,57,48,64,57,49,57,56,57,59,50,58,50,52,48,50,51,34,48,34,27,28,27,34,33,34
0.9,62,58,55,66,59,,65,65,59,64,64,55,57,57,56,57,65,57,58,54,57,53,50,50,50,58,42,57,50,48,49,39,42,46,41,33,36,28,26,25,19,26,28,27
1.05,58,57,57,57,63,,55,49,49,49,49,59,51,49,49,48,50,42,40,49,,40,41,41,42,42,42,40,34,41,41,43,34,30,40,34,43,26,26,19,19,20,26,25
1.2,56,60,54,55,42,,52,51,49,50,51,49,,49,41,43,42,50,42,42,,41,36,35,34,41,42,35,32,36,35,37,34,34,34,27,25,27,21,19,19,18,19,27
1.35,51,48,50,52,42,40,48,41,41,42,35,43,,42,42,42,41,41,42,41,35,34,,27,34,34,33,26,35,34,33,31,26,27,28,25,34,18,18,19,19,19,18,19
1.5,48,42,41,43,41,40,32,34,42,42,40,41,,35,34,33,35,34,36,34,26,34,,26,33,27,27,26,27,24,27,25,26,26,25,26,26,20,18,19,18,19,18,19
1.65,35,45,40,32,34,35,41,33,36,34,33,34,,27,34,35,35,35,33,34,26,27,,27,27,26,26,29,26,28,26,27,27,27,28,27,19,17,19,18,19,18,19,27
1.8,33,30,35,38,33,40,27,27,32,34,35,36,,34,35,34,25,34,34,27,27,26,,27,34,27,27,26,27,26,27,28,26,26,18,19,26,20,19,19,19,19,19,18
1.95,34,35,35,30,35,35,35,27,35,26,35,25,,25,27,27,27,26,33,26,26,26,,27,26,28,26,17,18,19,26,25,21,27,26,19,20,19,18,19,18,19,19,19
2.1,33,27,33,27,25,30,26,26,27,27,25,25,,27,26,26,27,26,26,27,18,20,,18,27,,17,19,20,18,27,24,24,27,19,26,18,19,20,18,19,19,20,20
2.25,26,33,27,26,35,25,25,,26,26,26,28,,26,34,27,26,26,28,26,20,26,,19,27,,18,19,19,19,18,22,28,26,26,27,19,18,19,19,19,18,19,25
2.4,29,28,27,29,24,30,29,,34,27,27,26,,27,28,25,26,26,34,35,18,,,20,18,,19,,,,,26,25,26,27,27,26,19,19,19,19,19,26,18
2.55,24,32,31,31,37,23,23,30,26,34,42,34,32,34,25,28,27,34,26,49,18,,,18,20,,27,,,,,26,19,19,26,27,20,19,18,26,18,19,19,19
2.7,42,35,30,26,24,43,35,26,34,26,27,34,37,26,35,26,26,34,20,19,20,,,18,26,,19,,,,,19,19,19,19,18,18,19,18,19,19,18,18,18
2.85,32,35,37,26,37,26,32,26,21,27,27,26,26,19,26,19,19,19,18,19,19,,,19,18,,18,,,,,19,19,19,19,19,19,18,19,19,19,19,19,19
3,28,27,31,25,19,28,20,26,17,19,24,19,19,19,18,18,19,19,18,18,19,,,18,19,,19,,,,,19,19,18,18,18,18,19,19,19,19,19,19,19
3.15,27,26,24,20,19,20,20,19,19,18,21,19,19,19,19,19,18,19,19,19,19,,,19,19,,19,,,,,19,18,20,19,19,19,19,19,19,18,19,19,19
3.3,28,27,20,18,18,18,20,19,19,25,19,19,18,19,19,25,19,18,19,18,18,,,,19,,19,,,,,19,19,18,18,19,19,19,26,18,19,19,19,19
3.45,17,20,20,20,18,19,19,18,18,21,20,19,19,18,19,20,19,19,19,20,20,,,,18,,18,,,,,19,20,21,18,18,19,20,19,19,19,19,18,19
3.6,20,18,20,18,19,19,18,19,19,19,17,18,18,20,18,19,19,19,18,19,18,,,,19,,19,,,,,18,17,19,19,22,18,18,19,19,19,18,19,19
3.75,18,19,17,19,20,18,20,19,19,18,21,19,20,18,20,19,20,19,19,19,19,,,,,,20,,,,,18,20,20,19,25,20,18,19,19,19,19,19,19
3.9,20,19,18,18,18,20,18,19,18,20,17,19,18,19,19,18,18,18,19,18,18,,,,,,18,,,,,17,19,18,20,17,18,19,19,19,19,19,18,19
4.05,17,19,20,20,17,20,17,19,20,18,18,20,19,19,18,19,19,19,19,19,19,,,,,,19,,,,,19,19,18,19,19,19,19,18,18,18,19,19,18
4.2,20,18,18,18,20,18,19,19,20,19,19,18,18,19,19,20,18,19,18,18,,,,,,,19,,,,,18,19,18,19,19,18,18,18,19,19,19,19,18
