Description,,date,sample/junk,bottle,Alkalinity file name ,EMF value with 0 acid added,"the starting time in HH:MM:SS, or 0",the end time in HH:MM:SS or total seconds TBC,are detailed acid timings available in acid_timings_titration? Yes or No,total amount of acid added in mL,How much acid is added in each step?,TA value given immediately after the titration in MARIANDA software,TA value calculated in calkulate,,,,the file name as given in the data,starting time in HH:MM:SS,sample volume used ,quick calculation based on total counts/(volume *Faraday's constant) no correction for drift and in ug/L,final calculated DIC value with correction 
,,,,,file name alkalinity,First emf value,start time ,end time,detailed timings?,acid added (mL) ,acid increments (mL),Vindta raw alkalinity,calkulate alkalinity,,notes ,,file name DIC,start time,sample volume (mL),raw DIC umol/L ,Calculated DIC umol/kg 
,,16-Sep,Junk,1,0-0  0  (0)junk-250916-01,,,,,,0.15,,,,first measurement bad,,,,,,
,,16-Sep,Junk,2,0-0  0  (0)junk-250916-02,,,,,,0.15,,,,,,,,,,
,,16-Sep,Junk,3,0-0  0  (0)junk-250916-03,,,,,,0.15,,,,,,,,,,
,,16-Sep,Junk,4,0-0  0  (0)junk-250916-04,,,,,,0.15,,,,,,,,,,
,,16-Sep,Junk,5,0-0  0  (0)junk-250916-05,,,,,,0.15,,,,,,,,,,
,,16-Sep,Junk,6,0-0  0  (0)junk-250916-06,,,,,,0.15,,,,,,,,,,
,,16-Sep,Junk,7,0-0  0  (0)junk-250916-07,,,,,,0.15,,,,,,,,,,
,,16-Sep,Junk,8,0-0  0  (0)junk-250916-08,,,,,,0.15,,,,Cell not full ,,,,,,
,,16-Sep,Junk,9,0-0  0  (0)junk-250916-09,,,,,,0.15,,,,,,,,,,
,,16-Sep,Junk,10,0-0  0  (0)junk-250916-10,,,,,,0.15,,,,,,,,,,
,,16-Sep,Junk,11,0-0  0  (0)junk-250916-11,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,1,0-0  0  (0)junk-250917-01,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,2,0-0  0  (0)junk-250917-02,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,3,0-0  0  (0)junk-250917-03,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,4,0-0  0  (0)junk-250917-04,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,5,0-0  0  (0)junk-250917-05,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,6,0-0  0  (0)junk-250917-06,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,7,0-0  0  (0)junk-250917-07,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,8,0-0  0  (0)junk-250917-08,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,9,0-0  0  (0)junk-250917-09,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,10,0-0  0  (0)junk-250917-10,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,11,0-0  0  (0)junk-250917-11,,,,,,0.15,,,,,,,,,,
,,17-Sep,Junk,12,0-0  0  (0)junk-250917-12,,,,,,0.15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,30-Sep,Junk,1,,,,,,,,,,,Cell not full aborted,,,,,,
,,,,2,,,,,,3.75,0.15,,,,Acid level from previous one remained,,,counts,,,
,,,,3,,,,,,4.2,0.15,,,,corresponding DIC,,14,4056255.2,,,
,,,,4,,,,,,2.25,0.15,,,,,,15,458911.5,,,
,,,,5,,,,,,1.2,0.15,,,,,,16,5129930.9,,,
,,,,6,,,,,,3.15,0.15,,,,,,17,4347129.1,,,
,,,,7,,,,,,3.6,0.15,,,,,,18,,,,
