titration_index,Titrant Mass,sample type,file_not_good,date,bottle nr,acid_added_mL,waiting time (minutes),Titration duration (seconds),Titrant Molinity,acid_increment_mL,reference_DIC,calculated_DIC,Alkalinity,slope,intercept,r_squared,plateau_C_percent,spread_C_percent
27,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,30/09/2025,3,4.2,0.0,,0.10064399,0.15,2271.737374448106,1650.48145767414,2360.915712571036,-42.247674593872105,100.41044840454968,0.9999191434816712,0.6629476043662185,0.000588343803028984
34,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,01/10/2025,1,4.2,0.0,821.0,0.10064399,0.15,2244.924189328618,1626.004195218691,2368.283084553107,-42.11344412317393,100.40347389139272,0.9999214373615021,0.6653338568701274,0.0006010637380834759
44,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,01/10/2025,12,4.2,0.0,803.0,0.10064399,0.15,2244.924189328618,1655.952963828572,2385.173766769744,-41.805127584857175,100.39878229975393,0.9999220959124513,0.6595177611557985,0.0006315246992211742
45,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,01/10/2025,13,4.2,0.0,,0.10064399,0.15,2244.924189328618,1668.699539523623,2387.22844072503,-41.76960927180118,100.40087429923253,0.999921097598938,0.6561871153898274,0.0006349626641077792
49,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,03/10/2025,4,4.2,3.0,783.0,0.10064399,0.15,2266.36733069704,1499.166451186826,2349.125781822596,-42.45183636624244,100.41600459488538,0.9999177123682131,0.6644079096161443,0.0005705749604718245
50,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,03/10/2025,5,4.2,4.0,,0.10064399,0.15,2266.36733069704,1538.965686438605,2349.879662425495,-42.45183612828782,100.41600459007537,0.9999177123691935,0.664407906260225,0.0005705749821370181
54,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,06/10/2025,1,4.2,40.0,788.0,0.10064399,0.15,2237.408271717209,519.2969954085205,2309.22302011891,-43.23425000384745,100.42580911816576,0.9999169848037573,0.6812946034525459,0.0005132867260872457
55,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,06/10/2025,2,4.2,20.0,,0.10064399,0.15,2237.408271717209,941.52255186799,2317.802651690191,-43.07664218794109,100.42265289084007,0.9999176088540406,0.6790508675863268,0.000523824560497795
56,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,06/10/2025,3,4.2,10.0,732.0,0.10064399,0.15,2237.408271717209,1284.798591662676,2316.520115857903,-43.079685464199635,100.43024069449046,0.9999145082707663,0.6718205326789776,0.00052307400653004
57,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,06/10/2025,4,4.2,5.0,735.0,0.10064399,0.15,2237.408271717209,1473.45523177103,2315.492164069635,-43.08629914654535,100.43037583460244,0.9999144808816505,0.6719135524180373,0.0005226229696684191
58,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,06/10/2025,5,4.2,2.0,,0.10064399,0.15,2237.408271717209,1597.712099691973,2313.9681739422,-43.12436332706351,100.42964846364791,0.9999149461683752,0.6738916350636733,0.000520150658988539
59,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,06/10/2025,6,4.2,0.5,735.0,0.10064399,0.15,2237.408271717209,1650.773496410248,2312.256927090428,-43.15308827644035,100.43023330330664,0.9999148283086354,0.6742966075014047,0.0005182236745454812
60,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,06/10/2025,7,4.2,0.0,,0.10064399,0.15,2237.408271717209,1690.321539871919,2315.510244343498,-43.1125106523797,100.4294071900683,0.9999149948095741,0.6737245302242816,0.0005209506749585821
